"TARS_ROV_NEV	TARS_HOSZ_NEV	CIM_EGYBEN	TARS_TIPUS_MEGNEV	TARS_TIPUS_KOD	ADOSZAM	GAZD_FORM	GAZD_FORM_KOD	CEGALL	CEGALL_KOD	NEMGAZD_AG_MEGNEV	NEMGAZD_AG_KOD	NEMGAZD_AGAZAT_MEGNEV	NEMGAZD_AGAZAT_KOD	NEMGAZD_SZAKAGAZAT_MEGNEV	NEMGAZD_SZAKAGAZAT_KOD	JEGYZ_TOKE_ERT_HUF 	ORSZAG	ORSZAG_KOD	REGIO	REGIO_KOD	MEGYE	MEGYE_KOD 	TELEPULES	TELEPULES_KOD	ASZ_EVE";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1117 Budapest Bogdánfy utca 10/a	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1117 Budapest XI, Bogdánfy utca 10/a	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1117 Budapest XI, Bogdánfy utca 10/a	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1117 Budapest Bogdánfy utca 10/a	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	8444 Szentgál, Bogdánfy u. 10/a.	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"'96 Kft v. a.f.a.	96 Beruházásszervezõ és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1117 Budapest XI, Bogdánfy utca 10/a	Gazdasági Társaság	1	10813229-2-43	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Saját tulajdonú ingatlan adásvétele	6810	200000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"KOMFORT 86 Lakberendezési Kft.	KOMFORT 86 Lakberendezési és Kereskedelmi Korlátolt Felelõsségû Társaság	1042 Budapest Szent István tér 7\B.	Gazdasági Társaság	1	10827796-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	6000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"KOMFORT 86 Lakberendezési Kft.	KOMFORT 86 Lakberendezési és Kereskedelmi Korlátolt Felelõsségû Társaság	1042 Budapest IV, Szent István tér 7\B.	Gazdasági Társaság	1	10827796-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	6000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"KOMFORT 86 Lakberendezési Kft. f.a.	KOMFORT 86 Lakberendezési és Kereskedelmi Korlátolt Felelõsségû Társaság felszámolás alatt	1042 Budapest Szent István tér 7/B.	Gazdasági Társaság	1	10827796-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	6000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"KOMFORT 86 Lakberendezési Kft. f.a.	KOMFORT 86 Lakberendezési és Kereskedelmi Korlátolt Felelõsségû Társaság felszámolás alatt	1042 Budapest Szent István tér 7\B.	Gazdasági Társaság	1	10827796-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	6000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"KOMFORT 86 Lakberendezési Kft.	KOMFORT 86 Lakberendezési és Kereskedelmi Korlátolt Felelõsségû Társaság	1042 Budapest Szent István tér 7\B.	Gazdasági Társaság	1	10827796-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	6000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"MIKROBÁN KFT kt. a.	MIKROBÁN Könyvvizsgáló Korlátolt Felelõsségû Társaság kényszertörlés alatt	1108 Budapest Gergely utca 116., II./34.ajtó	Gazdasági Társaság	1	10843006-2-42	Korlátolt Felelõsségû Társaság	8	Kényszertörlés alatt	2	Szakmai, tudományos, mûszaki tevékenység	M	Jogi, számviteli, adószakértõi tevékenység	69	Számviteli, könyvvizsgálói, adószakértõi tevékenység	6920	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Magyar Lóversenyfogadást Szervezõ  Kft.	Magyar Lóversenyfogadást - szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"Magyar Lóversenyfogadást-szervezõ Kft.	Magyar Lóversenyfogadást-szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"Magyar Lóversenyfogadást Szervezõ  Kft.	Magyar Lóversenyfogadást - szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"Magyar Lóversenyfogadást Szervezõ  Kft.	Magyar Lóversenyfogadást - szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"Magyar Lóversenyfogadást Szervezõ  Kft.	Magyar Lóversenyfogadást Szervezõ Kft.	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	1000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"Magyar Lóversenyfogadást - szervezõ Kft.	Magyar Lóversenyfogadást - szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Magyar Lóversenyfogadást-szervezõ Kft.	Magyar Lóversenyfogadást-szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"Magyar Lóversenyfogadást-szervezõ Kft.	Magyar Lóversenyfogadást-szervezõ Korlátolt Felelõsségû Társaság	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	10929001-1-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Szerencsejáték, fogadás	92	Szerencsejáték, fogadás	9200	2000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"NETI Kft.	NETI Informatikai Tanácsadó Korlátolt Felelõsségû Társaság	1063 Budapest VI, Munkácsy Mihály utca 16.	Gazdasági Társaság	1	10845163-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Információ-technológiai szolgáltatás	62	Információ-technológiai szaktanácsadás	6202	20000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"NETI Kft.	NETI Informatikai Tanácsadó Korlátolt Felelõsségû Társaság	1063 Budapest Munkácsy Mihály utca 16.	Gazdasági Társaság	1	10845163-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Információ-technológiai szolgáltatás	62	Információ-technológiai szaktanácsadás	6202	20000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"NETI Kft.	NETI Informatikai Tanácsadó Korlátolt Felelõsségû Társaság	1063 Budapest Munkácsy Mihály utca 16.	Gazdasági Társaság	1	10845163-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Információ-technológiai szolgáltatás	62	Információ-technológiai szaktanácsadás	6202	20000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"NETI Kft.	NETI Informatikai Tanácsadó Korlátolt Felelõsségû Társaság	1063 Budapest Munkácsy Mihály utca 16.	Gazdasági Társaság	1	10845163-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Információ-technológiai szolgáltatás	62	Információ-technológiai szaktanácsadás	6202	20000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"NETI Kft.	NETI Informatikai Tanácsadó Korlátolt Felelõsségû Társaság	1063 Budapest Munkácsy Mihály utca 16.	Gazdasági Társaság	1	10845163-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Információ-technológiai szolgáltatás	62	Információ-technológiai szaktanácsadás	6202	20000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"MTVA Kiadói Kft.	MTVA Kiadói Ügynöki és Szolgáltató Korlátolt Felelõsségû Társaság	1037 Budapest, Kunigunda útja 64.	Gazdasági Társaság	1	10873003-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	10000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"MTVA Kiadói Kft.	MTVA Kiadói Ügynöki és Szolgáltató Korlátolt Felelõsségû Társaság	1037 Budapest, Kunigunda útja 64.	Gazdasági Társaság	1	10873003-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	10000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"GÉPSZAK Kft.	Gépipari Szakszolgáltató és Fõvállalkozó Kft. v.a.	1024 Budapest, Kisrókus u. 2.	Gazdasági Társaság	1	10884498-2-41	Korlátolt Felelõsségû Társaság	8	Végelszámolás alatt	5	Feldolgozóipar	C	Gép, gépi berendezés gyártása	28	M.n.s. egyéb általános rendeltetésû gép gyártása	2829	102540000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"GÉPSZAK Kft. f.a.	Gépipari Szakszolgáltató és Fõvállalkozó Korlátolt Felelõsségû Társaság felszámolás alatt	1024 Budapest II, Kisrókus utca 2.	Gazdasági Társaság	1	10884498-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Gép, gépi berendezés gyártása	28	M.n.s. egyéb általános rendeltetésû gép gyártása	2829	102540000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"GÉPSZAK Kft.	Gépipari Szakszolgáltató és Fõvállalkozó Korlátolt Felelõsségû Társaság.f.a.	1024 Budapest II, Kisrókus utca 2.	Gazdasági Társaság	1	10884498-2-41	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Feldolgozóipar	C	Gép, gépi berendezés gyártása	28	M.n.s. egyéb általános rendeltetésû gép gyártása	2829	102540000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"GÉPSZAK Kft.	Gépipari Szakszolgáltató és Fõvállalkozó Korlátolt Felelõsségû Társaság	1024 Budapest, Kisrókus u. 2.	Gazdasági Társaság	1	10884498-2-41	Korlátolt Felelõsségû Társaság	8	Végelszámolás alatt	5	Feldolgozóipar	C	Gép, gépi berendezés gyártása	28	M.n.s. egyéb általános rendeltetésû gép gyártása	2829	102540000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"HORNYÁK FÉMTERMÉK Kft kt. a.	HORNYÁK FÉMTERMÉK Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság kényszertörlés alatt	1106 Budapest Köszméte utca 34.	Gazdasági Társaság	1	10889699-2-42	Korlátolt Felelõsségû Társaság	8	Kényszertörlés alatt	2	Feldolgozóipar	C	Fémfeldolgozási termék gyártása	25	Fémszerkezet gyártása	2511	3500000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"MAHART PassNave Kft.	MAHART - PassNave Személyhajózási Korlátolt Felelõsségû Társasûg	1056 Budapest, Belgrád rakpart Nemzetközi Hajóállomás	Gazdasági Társaság	1	10894332-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szállítás, raktározás	H	Vízi szállítás	50	Belvízi személyszállítás	5030	365980000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"MAHART PassNave Kft.	MAHART PassNave Személyihajózási Kft.	1056 Budapest, Belgrád rakpart Nemzetközi Hajóállomás	Gazdasági Társaság	1	10894332-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szállítás, raktározás	H	Vízi szállítás	50	Belvízi személyszállítás	5030	365980000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"MAHART PassNave Kft.	MAHART PassNave Személyhajózási Korlátolt Felelõsségû Társaság	1056 Budapest, Belgárd rakpart Nemzetközi Hajóállomás	Gazdasági Társaság	1	10894332-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szállítás, raktározás	H	Vízi szállítás	50	Belvízi személyszállítás	5030	365980000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"MAHART PassNave Személyhajózási Kft.	MAHART PassNave Személyhajózási Korlátolt Felelõsségû Társaság	1056 Budapest, Belgrád rakpart Nemzetközi Hajóállomás	Gazdasági Társaság	1	10894332-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szállítás, raktározás	H	Vízi szállítás	50	Belvízi személyszállítás	5030	365980000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest VIII, Somogyi Béla utca 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó Korlátolt Felelõsségû Társaság	1085 Budapest, Somogyi Béla u. 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest VIII, Somogyi Béla utca 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest Somogyi Béla utca 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest VIII, Somogyi B. utca 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó Korlátolt Felelõsségû Társaság	1085 Budapest, Somogyi Béla u. 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest, Somogyi B. u. 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290520000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"Közlönykiadó Kft.	Magyar Közlöny Lap- és Könyvkiadó  Korlátolt Felelõsségû Társaság	1085 Budapest Somogyi Béla utca 6.	Gazdasági Társaság	1	10897706-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ, kommunikáció	J	Kiadói tevékenység	58	Folyóirat, idõszaki kiadvány kiadása	5814	290620000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest X, Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest X, Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest X, Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"BUFA Kft.	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest Kozma utca 13.	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"BUFA kft	BUFA Budapesti Faipari Termelõ és Kereskedelmi Korlátolt Felelõsségû Társaság	1108 Budapest, Kozma u. 13	Gazdasági Társaság	1	10898013-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Bútorgyártás	31	Egyéb bútor gyártása	3109	278790000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"HYPOTEX Kft kt.a.	HYPOTEX Kereskedelmi és Szolgáltató Kft kényszertörlés alatt	1195 Budapest Jáhn Ferenc  utca 11.\6., I.\1.ajtó	Gazdasági Társaság	1	10904149-2-43	Korlátolt Felelõsségû Társaság	8	Kényszertörlés alatt	2	Építõipar	F	Speciális szaképítés	43	Víz-, gáz-, fûtés-, légkondicionáló-szerelés	4322	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"HYPOTEX Kft v.a.	HYPOTEX Kereskedelmi és Szolgáltató Kft végelszámolás alatt	1195 Budapest Jáhn Ferenc  utca 11.\6., I.\1.ajtó	Gazdasági Társaság	1	10904149-2-43	Korlátolt Felelõsségû Társaság	8	Kényszertörlés alatt	2	Építõipar	F	Speciális szaképítés	43	Víz-, gáz-, fûtés-, légkondicionáló-szerelés	4322	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"D&B Partner Kft.	D&B Partner Korlátolt Felelõsségû Társaság	1027 Budapest Bem József utca 9.	Gazdasági Társaság	1	25421145-2-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Ingatlanügyletek	L	INGATLANÜGYLETEK	68	Ingatlankezelés	6832	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	1054 Budapest Alkotmány utca 12., III./21.ajtó	Gazdasági Társaság	1	25425390-2-41	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Kulturális képzés	8552	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017";;
"																									";;
"Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	1054 Budapest Alkotmány utca 12., III.\21.ajtó	Gazdasági Társaság	1	25425390-2-41	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Kulturális képzés	8552	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	Kárpát-medencei Tehetséggondozó Nonprofit Korlátolt Felelõsségû Társaság	1054 Budapest Alkotmány utca 12., III.\21.ajtó	Gazdasági Társaság	1	25425390-2-41	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Oktatás	P	Oktatás	85	Kulturális képzés	8552	3000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
