TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE
GANZ-DANUBIUS Végelszámolás alatt;GANZ DANUBIUS Hajó- és Darugyár v.a.;1138 Budapest, Váci út 202.;Gazdasági Társaság;1;10001459-2-41;Állami Vállalat;3;Végelszámolás alatt;5;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;2669524000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
GANZ-DANUBIUS Végelszámolás alatt;GANZ DANUBIUS Hajó- és Darugyár  Végelszámolás alatt ;1138 Budapest, Váci út 202.;Gazdasági Társaság;1;10001459-2-41;Állami Vállalat;3;Végelszámolás alatt;5;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;2669524000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
GANZ-DANUBIUS f.a.;GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt ;1138 Budapest XIII, Váci út 202.;Gazdasági Társaság;1;10001459-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;2669524000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
GANZ-DANUBIUS f.a.;GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt ;1138 Budapest Váci út 202.;Gazdasági Társaság;1;10001459-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;2669524000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
GANZ-DANUBIUS f.a.;GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt ;1138 Budapest XIII, Váci út 202.;Gazdasági Társaság;1;10001459-2-41;Állami Vállalat;3;Végelszámolás alatt;5;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;2669524000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
GENERALIMPEX f.a.;GENERALIMPEX Magyar Külkereskedelmi Vállalat f.a.;1113 Budapest, Ulászló u.39-4. II. lph. 156. fszt.4.;Gazdasági Társaság;1;10139059-2-43;Állami Vállalat;3;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;50000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
BUDAPRINT;BUDAPRINT Pamutnyomóipari Vállalat felszámolás alatt;1036 Budapest III, Fényes Adolf utca 19-21.;Gazdasági Társaság;1;10003712-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletvezetés;7010;3387680000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
BUDAPRINT;BUDAPRINT Pamutnyomóipari Vállalat felszámolás alatt;1036 Budapest, Fényes Adolf u.19-21.;Gazdasági Társaság;1;10003712-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletvezetés;7010;3387680000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
BUDAPRINT;BUDAPRINT Pamutnyomóipari Vállalat f. a.;1036 Budapest, Fényes Adolf u.19-21.;Gazdasági Társaság;1;10003712-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletvezetés;7010;3387680000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat f.a.;1053 Budapest, Múzeum krt. 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest Múzeum körút 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
