TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE 
MAVIR ZRt.;MAVIR Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zártkörűen Működő Részvénytársaság;1031 Budapest Anikó utca 4.;Gazdasági Társaság;1;12550753-2-44;Részvénytársaság;15;Működő;4;Villamosenergia-, gáz-, gőzellátás, légkondícionálás;D;Villamosenergia-, gáz-, gőzellátás, légkondicionálás;35;Villamosenergia-szállítás;3512;141303110000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
Államadósság Kezelő Központ Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u 9-11.;Gazdasági Társaság;1;12598757-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
ÁKK Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest II, Csalogány utca 9-11.;Gazdasági Társaság;1;12598757-1-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
ÁKK Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest II, Csalogány utca 9-11.;Gazdasági Társaság;1;12598757-1-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
ÁKK Zrt.;Államadósság Kezelő Központ Zrt.;1027 Budapest, Csalogány u 9-11.;Gazdasági Társaság;1;12598757-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
ÁKK Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u. 9-11.;Gazdasági Társaság;1;12598757-1-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
ÁKK Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u 9-11.;Gazdasági Társaság;1;12598757-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
ÁKK Zrt.;Államadósság Kezelő Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u 9-11.;Gazdasági Társaság;1;12598757-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;M.n.s. egyéb pénzügyi közvetítés;6499;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest VI, Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest, Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest VI, Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
STADION INVEST Rt.;STADION INVEST Beruházás Bonyolító Részvénytársaság;1065 Budapest VI, Bajcsy-Zsilinszky út 57.;Gazdasági Társaság;1;12629240-2-42;Részvénytársaság;15;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;88000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársa;1087 Budapest VIII, Asztalos S. utca 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Feldolgozóipar;C;Közúti jármű gyártása;29;Közúti gépjármű gyártása;2910;870000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság;1087 Budapest Asztalos Sándor út 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Feldolgozóipar;C;Közúti jármű gyártása;29;Közúti gépjármű gyártása;2910;870000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság;1087 Budapest Asztalos Sándor út 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Feldolgozóipar;C;Közúti jármű gyártása;29;Közúti gépjármű gyártása;2910;870000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Rés;1087 Budapest, Asztalos S. u 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Gépjárműjavítás, -karbantartás;4520;400000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársag;1087 Budapest VIII, Asztalos S. utca 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Gépjárműjavítás, -karbantartás;4520;400000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársa;1087 Budapest VIII, Asztalos S. utca 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Gépjárműjavítás, -karbantartás;4520;870000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság;1087 Budapest Asztalos S. utca 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Gépjárműjavítás, -karbantartás;4520;870000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
BM HEROS Zrt.;Belügyminisztérium HEROS Javító, Gyártó, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság;1087 Budapest Asztalos Sándor út 2.;Gazdasági Társaság;1;12650932-2-51;Részvénytársaság;15;Működő;4;Feldolgozóipar;C;Közúti jármű gyártása;29;Közúti gépjármű gyártása;2910;1010000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u. 9-11.;Gazdasági Társaság;1;12657331-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Kacsa utca 15-23.,;Gazdasági Társaság;1;12657331-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u. 9-11.;Gazdasági Társaság;1;12657331-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Diákhitel Zrt.;Diákhitel Központ Zrt.;1027 Budapest, Kacsa utca 15-23.;Gazdasági Társaság;1;12657331-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Kacsa utca 15-23.;Gazdasági Társaság;1;12657331-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u. 9-11.;Gazdasági Társaság;1;12657331-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Csalogány u. 9-11.;Gazdasági Társaság;1;12657331-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Diákhitel Zrt.;Diákhitel Központ Zártkörűen Működő Részvénytársaság;1027 Budapest, Kacsa utca 15-23.;Gazdasági Társaság;1;12657331-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Első Alkotmány Utcai Zrt.;Első Alkotmány Utcai Ingatlanhasznosító Zártkörűen Működő Részvénytársaság;1054 Budapest V, Alkotmány utca 23.;Gazdasági Társaság;1;11766917-2-41;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;593826000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Első Alkotmány Utcai Zrt.;Első Alkotmány Utcai Ingatlanhasznosító Zártkörűen Működő Részvénytársaság;1054 Budapest V, Alkotmány utca 23.;Gazdasági Társaság;1;11766917-2-41;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;59382600.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Első Alkotmány Utcai Zrt.;Első Alkotmány Utcai Ingatlanhasznosító Zártkörűen Működő Részvénytársaság;1054 Budapest Alkotmány utca 23.;Gazdasági Társaság;1;11766917-2-41;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;59382600.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Budapest Airport Zrt.;Budapest Airport Budapest Ferihegy Nemzetközi Repülőtér Üzemeltető Zártkörűen működő Rt.;1185 Budapest, BUD Nemzetközi Repülőtér;Gazdasági Társaság;1;12724163-4-44;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Légi szállítást kiegészítő szolgáltatás;5223;8040000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
Regionális Fejlesztési Zrt.;Regionális Fejlesztési Holding Zártkörűen Működő Részvénytársaság;1027 Budapest, Kapás utca 6-12.;Gazdasági Társaság;1;11974004-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Pénzügyi közvetítés, kivéve: biztosítási, nyugdíjpénztári tevékenység;64;Egyéb hitelnyújtás;6492;17542000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1027 Budapest, Kapás utca 6-12.;Gazdasági Társaság;1;12769676-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1027 Budapest, Kapás utca 6-12.;Gazdasági Társaság;1;12769676-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1053 Budapest, Szép u 2.;Gazdasági Társaság;1;12769676-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1053 Budapest, Szép u. 2.;Gazdasági Társaság;1;12769676-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1053 Budapest, Szép utca 2.;Gazdasági Társaság;1;12769676-2-41;Részvénytársaság;15;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zrt.;1027 Budapest, Kapás utca 6-12.;Gazdasági Társaság;1;12769676-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1053 Budapest, Szép utca 2.;Gazdasági Társaság;1;12769676-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
Kisvállalkozás-fejlesztő Zrt.;Kisvállalkozás-fejlesztő Pénzügyi Zártkörűen Működő Részvénytársaság;1027 Budapest, Kapás utca 6-12.,;Gazdasági Társaság;1;12769676-2-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Egyéb pénzügyi kiegészítő tevékenység;6619;2200000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Budapesti Szabadkikötő Logisztikai Zrt.;Budapesti Szabadkikötő Logisztikai Zártkörűen Működő Részvénytársaság;1211 Budapest, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13122100-2-43;Részvénytársaság;15;Működő;4;Szállítás, raktározás;H;Raktározás, szállítást kiegészítő tevékenység;52;Rakománykezelés;5224;355000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
MAHART-Szabadkikötő Zrt.;MAHART-Szabadkikötő Zrt.;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
MAHART-Szabadkikötő Zrt.;MAHART- Szabadkikötő Zártkörűen Működő Részvénytársaság;1211 Budapest, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Zártkörűen Működő Részvénytársaság;21;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
MAHART-Szabadkikötő Zrt.;MAHART-Szabadkikötő Zrt.;1211 Budapest, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Zártkörűen Működő Részvénytársaság;21;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
MAHART-Szabadkikötő Zrt.;MAHART-Szabadkikötő Zrt.;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
MAHART-Szabadkikötő Zrt.;MAHART-Szabadkikötő Zártkörűen Működő Részvénytársaság;1211 Budapest, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Zártkörűen Működő Részvénytársaság;21;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
MAHART-Szabadkikötő Zrt.;MAHART-Szabadkikötő Zrt.;1211 Budapest XXI, Weiss Manfréd út 5-7.;Gazdasági Társaság;1;13541734-2-43;Részvénytársaság;15;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;45000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
