WKT,TELEPULESE,MEGYE_NEV,TELNEV,IR_SZAM,KERULET,CIM,POLGM_NEV,POLGMBEO,TEL,FAX,TELEX,JEGYZONEV,JEGYZOBEO,TEL_STATUS,KSH_KOD
"POINT (598569.9 53149.2)",1401,BARANYA MEGYE,Kistapolca,7823,,Szabadság u. 17.,IFJ. WALLER FERENC,POLGÅRMESTER,Görösgalpuszta 3,,,,,község,03151
"POINT (666416.804 245013.1)",1402,PEST MEGYE,Kistarcsa,2143,,Széchenyi u. 33.,RAPAVI JòZSEF,POLGÅRMESTER,(28)370-357,(28)370-409,,betöltetlen,jegyzô betöltetlen,község,34157
"POINT (721593.567 125474.685)",1403,CSONGRÁD MEGYE,Kistelek,6750,,Årpád u.1.,OTT JòZSEF,POLGÅRMESTER,(62)364-144,(62)364-980,,Lengyel Istvánné dr.,jegyzô,város,31024
"POINT (783594.3 301383.5)",1404,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Kistokaj,3553,,Széchenyi u. 43.,BAJOR JòZSEFNÉ,POLGÅRMESTER,Kistokaj 1,,,Varga Antal,jegyzô,község,12399
"POINT (473563.6 129657.3)",1405,ZALA MEGYE,Kistolmács,8868,,Béke u. 14.,MARTON MIKLòS,POLGÅRMESTER,Letenye 82,,,,,község,20941
"POINT (612966.9 128766.5)",1406,TOLNA MEGYE,Kistormás,7068,,Kossuth L. u. 18.,TAKÅCS ZSOLT,POLGÅRMESTER,(74)336-053,,,,,község,03869
"POINT (592829.4 62776.8)",1407,BARANYA MEGYE,Kistótfalu,7768,,Bem u. 81.,TARANYI ÅDÅM,POLGÅRMESTER,(72)377-117,,,,,község,10746
"POINT (467567.7 203135.1)",1408,VAS MEGYE,Kisunyom,9772,,Fô u. 10.,BODA MÅRIA,POLGÅRMESTER,(94)356-028,,,Bognár Tímea,jegyzô,község,02501
"POINT (779104.7 209561.6)",1409,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kisújszállás,5311,,Szabadság tér 1.,DR. DUCZA LAJOS,POLGÅRMESTER,(59)321-701,,23255 vtksz h,Dr. Kittlinger Ilona,jegyzô,város,25919
"POINT (891792.6 316750.1)",1410,SZABOLCS-SZATMÁR-BEREG MEGYE,Kisvarsány,4811,,Lenin u. 10.,BORDÅS GYULA,POLGÅRMESTER,Nagyvarsány 11,,,Juhász Endre,jegyzô,község,12672
"POINT (585630.7 103961.0)",1411,BARANYA MEGYE,Kisvaszar,7381,,Albert István tér 12.,òBERTNÉ MIKS MÅRIA,POLGÅRMESTER,Kisvaszar 1,,,,,község,09548
"POINT (875730.3 324147.1)",1412,SZABOLCS-SZATMÁR-BEREG MEGYE,Kisvárda,4600,,Szent László u. 7-11.,DR. OLÅH ALBERT,POLGÅRMESTER,(42)312-253,(42)312-253,73288 kvvt h,Mártonné Dr.Csimbók Ildikó,,város,09265
"POINT (509385.0 185050.1)",1413,ZALA MEGYE,Kisvásárhely,8341,,Petôfi u. 7.,PINTÉR JENº,POLGÅRMESTER,Mihályfa 1,,,,,község,16364
"POINT (601367.2 115375.6)",1414,TOLNA MEGYE,Kisvejke,7183,,Rákóczi u. 96.,HÖFLER JòZSEF,POLGÅRMESTER,Kisvejke 1,,,Dr. Bessenyei János,körjegyzô,község,31185
"POINT (756637.9 94366.0)",1415,CSONGRÁD MEGYE,Kiszombor,6775,,Nagyszentmiklósi u. 8.,NAGY TIBOR,POLGÅRMESTER,Kisszombor 3,,,Gulácsiné Somogyi Ilona,jegyzô,község,26666
"POINT (468342.2 232313.1)",1416,VAS MEGYE,Kiszsidány,9733,,Fô u. 39.,SCHULCZ FERENC,POLGÅRMESTER,nincs adat,,,,,község,15486
"POINT (748594.6 98388.6)",1417,CSONGRÁD MEGYE,Klárafalva,6773,,Kossuth u. 171.,FEKETE JòZSEF,POLGÅRMESTER,22,,,Gácsi Zoltán,jegyzô,község,08253
"POINT (587367.7 251741.2)",1418,KOMÁROM-ESZTERGOM MEGYE,Kocs,2898,,Kossuth u. 7.,PÅLFY IMRE,POLGÅRMESTER,(34)371-243,,,Szabó Ferencné,jegyzô,község,02510
"POINT (715805.5 184568.1)",1419,PEST MEGYE,Kocsér,2755,,Szent István tér 1.,BARABÅS FERENC,POLGÅRMESTER,(20)350-080,,,Horváth Sándorné,Jegyzô,község,32771
"POINT (583594.1 131765.8)",1420,TOLNA MEGYE,Kocsola,7212,,Kossuth L. u. 59.,HORVÅTH ZOLTÅN,POLGÅRMESTER,(74)385-205,,,Horváthné Tóth Valéria,jegyzô,község,22433
"POINT (899180.5 293853.0)",1421,SZABOLCS-SZATMÁR-BEREG MEGYE,Kocsord,4751,,Lenin u. 13.,JAKAB CS. ZSIGMOND,POLGÅRMESTER,(44)310-871,(44)310-871,,Tóth Ervinné,jegyzô,község,07445
"POINT (867469.0 232937.3)",1422,HAJDU-BIHAR MEGYE,Kokad,4284,,Kossuth u. 55.,OZSVÅTH ISTVÅN,POLGÅRMESTER,(52)376-317,,,Dr. Szombati Csaba,jegyzô,község,17455
"POINT (530499.2 194781.1)",1423,VESZPRÉM MEGYE,Kolontár,8468,,Kossuth u. 1.,HÅNISCH MIHÅLY,POLGÅRMESTER,Kolontár 1,,,,,község,30182
"POINT (835733.0 187603.6)",1424,HAJDU-BIHAR MEGYE,Komádi,4138,,Hôsök tere 4.,SZABò GYÖRGY,POLGÅRMESTER,Komádi 44,Komádi 44,,Dr. Csóra Mária,jegyzô,község,02167
"POINT (580474.1 266780.5)",1425,KOMÁROM-ESZTERGOM MEGYE,Komárom,2900,,Szabadság tér 1.,DR. KRAJCZÅR GYULA,POLGÅRMESTER,(38)331-155,(34)340-199,27224 kovat h,Dr. Szöllôsy Ferenc,jegyzô,város,05449
"POINT (776656.4 357089.9)",1426,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Komjáti,3765,,Petôfi S. u.13.,GYENES JòZSEF,POLGÅRMESTER,Komjáti 1,,,Osváth Sándorné,körjegyzô,község,10612
"POINT (589011.7 95415.2)",1427,BARANYA MEGYE,Komló,7300,,Városház tér 4.,SZARKA ELEMÉR,POLGÅRMESTER,(72)481-150,,12590 kvtvb h,Dr. Somogyi Károly,jegyzô,város,26408
"POINT (923522.2 284176.9)",1428,SZABOLCS-SZATMÁR-BEREG MEGYE,Komlódtótfalu,4765,,Kisfaludy u. 59.,CSORVÅSI GÅBOR,POLGÅRMESTER,(44)341-818,,,,,község,22336
"POINT (521292.5 76348.9)",1429,SOMOGY MEGYE,Komlósd,7582,,Fô u. 26.,KISS PÅL,POLGÅRMESTER,Komlósd 4,,,,,község,09858
"POINT (828926.4 335849.1)",1430,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Komlóska,3937,,Bajcsy-Zs. u. 6.,KÖTELES LÅSZLò,POLGÅRMESTER,Erdôhorváti 2,,,,,község,16559
"POINT (877480.8 333297.8)",1431,SZABOLCS-SZATMÁR-BEREG MEGYE,Komoró,4622,,Petôfi u. 19.,BOROS ISTVÅN,POLGÅRMESTER,Komoró 1,,,Révész Lajosné,jegyzô,község,27146
"POINT (739293.1 266978.4)",1432,HEVES MEGYE,Kompolt,3356,,Kápolnai út 28.,FARKAS PÅL,POLGÅRMESTER,Kál 1,,,Polonkai Bertalanné,jegyzô,község,23995
"POINT (447319.0 175675.4)",1433,VAS MEGYE,Kondorfa,9943,,Alvég u. 1.,BALÅZS LÅSZLò,POLGÅRMESTER,Kondorfa 231,,,Varga Sándor,jegyzô,község,13028
"POINT (783894.4 158501.4)",1434,BÉKÉS MEGYE,Kondoros,5553,,Hôsök u. 4-5.,DR. KONDÉ GÅBOR,POLGÅRMESTER,(66)388-401,(66)388-416,,Zsindely Ferencné,jegyzô,község,10287
"POINT (768605.5 317462.4)",1435,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Kondó,3775,,Szabadság u. 87.,TºZSÉR MIKLòS,POLGÅRMESTER,(48)331-159,,,Kántor János,jegyzô,község,32498
"POINT (848017.1 222996.8)",1436,HAJDU-BIHAR MEGYE,Konyár,4133,,Rákóczi u. 24.,DR. FÜLEP LÅSZLò,POLGÅRMESTER,(52)388-888,,,Nagy Károlyné,jegyzô,község,25964
"POINT (578186.0 139370.6)",1437,TOLNA MEGYE,Koppányszántó,7094,,Szabadság u. 67.,NIKLAI JÅNOS,POLGÅRMESTER,Koppányszántó 1,,,,,község,21184
"POINT (812834.6 339363.5)",1438,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Korlát,3886,,Kossuth L. u. 36.,KOVÅCS MIKLòSNÉ,POLGÅRMESTER,Vizsoly 33,,,,,község,22956
"POINT (535479.7 251863.9)",1439,GYÕR-MOSON-SOPRON MEGYE,Koroncó,9113,,Rákóczi u. 22.,HORVÅTH LòRÅNT,POLGÅRMESTER,(96)349-117,(96)349-117,,Egriné Kozma Ilona,jegyzô,község,24633
"POINT (659724.1 273629.6)",1440,PEST MEGYE,Kosd,2612,,ùttörô u. 2.,BOROVITS FERENC,POLGÅRMESTER,(27)314-867,,,betöltetlen,jegyzô betöltetlen,község,27687
"POINT (582988.1 54672.7)",1441,BARANYA MEGYE,Kovácshida,7847,,Felszabadulás u. 11.,MÅRTA ERNº,POLGÅRMESTER,(72)380-328,,,Dr. Hatvani Edit,körjegyzô,község,24226
"POINT (577566.7 92345.1)",1442,BARANYA MEGYE,Kovácsszénája,7678,,Fô u. 19.,HAISER JòZSEF,POLGÅRMESTER,(72)378-428,,,Dr. Mojzes Rózsa,körjegyzô,község,14517
"POINT (833428.2 348452.8)",1443,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Kovácsvágás,3992,,Fô u. 33.,BODNÅR ERNº,POLGÅRMESTER,Páltháza 43,,,Dr. Váradi György,körjegyzô,község,28547
"POINT (692627.9 285797.9)",1444,NÓGRÁD MEGYE,Kozárd,3053,,Vörös Hadsereg út 20.,STEVLIK NÅNDOR,POLGÅRMESTER,Ecseg 6,,,,,község,13842
"POINT (591743.6 76368.3)",1445,BARANYA MEGYE,Kozármisleny,7761,,Alkotmány u. 55.,FERENC MIKLòS,POLGÅRMESTER,(72)371-081,,,Spánné Csallos Beáta,körjegyzô,község,06336
"POINT (459342.8 161141.6)",1446,ZALA MEGYE,Kozmadombja,8988,,Jókai út 25.,SZENTE RUDOLF,POLGÅRMESTER,(92)351-727,,,,,község,13082
"POINT (690209.6 237844.0)",1447,PEST MEGYE,Kóka,2243,,Dózsa Gy. u. 1.,PAPP JÅNOS,POLGÅRMESTER,101,,,Dr. Németh András,jegyzô,község,31361
"POINT (523427.3 255372.3)",1448,GYÕR-MOSON-SOPRON MEGYE,Kóny,9144,,Rákóczi u. 30.,ALLER IMRE,POLGÅRMESTER,Kóny 101,,,Takács Mikósné dr.,jegyzô,község,11262
"POINT (469326.9 257679.0)",1449,GYÕR-MOSON-SOPRON MEGYE,Kópháza,9495,,Fô u. 15.,PILSITS MÅRIA,POLGÅRMESTER,(99)357-028,(99)357-028,,Dr. Katona Kálmán,jegyzô,község,06895
"POINT (575036.8 58422.7)",1450,BARANYA MEGYE,Kórós,7841,,Kossuth L. u. 50.,HORVÅTH SÅNDOR,POLGÅRMESTER,Kórós 3,,,,,község,08110
"POINT (641551.1 281263.6)",1451,PEST MEGYE,Kóspallag,2625,,Deák Ferenc út 1.,CSIZMADIA VILMOS,POLGÅRMESTER,(27)375-025,,,,,község,24679
"POINT (848356.5 304486.8)",1452,SZABOLCS-SZATMÁR-BEREG MEGYE,Kótaj,4482,,Vörös Hadsereg u. 13.,FODOR LAJOS,POLGÅRMESTER,2,,,Vira Györgyné,jegyzô,község,23728
"POINT (592738.8 105935.3)",1453,BARANYA MEGYE,Köblény,7334,,Kossuth L. u. 1.,KISS GYULA,POLGÅRMESTER,Szalatnak 1,,,,,község,25247
"POINT (503132.8 207260.1)",1454,VAS MEGYE,Köcsk,9553,,Hunyadi u. 2.,HORVÅTH LÅSZLò,POLGÅRMESTER,Köcsk 1,,,,,község,04190
"POINT (585390.392 72980.8)",1455,BARANYA MEGYE,Kökény,7668,,Petôfi u. 2.,STANDOVÅN JÅNOS,POLGÅRMESTER,(72)420-910,,,,,község,03540
"POINT (923574.9 307708.4)",1456,SZABOLCS-SZATMÁR-BEREG MEGYE,Kölcse,4965,,Dózsa Gy. u. 6.,HARBULA ISTVÅN,POLGÅRMESTER,Kölcse 1,,,Tóth János,jegyzô,község,16665
"POINT (614952.4 129398.6)",1457,TOLNA MEGYE,Kölesd,7052,,Kossuth L. tér. 2.,KOCSIS GYÖRGY,POLGÅRMESTER,(74)336-033,,,Dr.Fenyvesi János,körjegyzô,község,10463
"POINT (623631.7 67229.3)",1458,BARANYA MEGYE,Kölked,7717,,II. Lajos u. 12.,MUSKÅT ZOLTÅN,POLGÅRMESTER,Kölked 81,,,Estók Mihályné,jegyzô,község,17899
"POINT (754824.1 251693.1)",1459,HEVES MEGYE,Kömlõ,3272,,Fô út 26.,IFJ. SZTANKOVICS BÉLA,POLGÅRMESTER,(39)388-021,,,Czakó Ferencné,jegyzô,község,14535
"POINT (590708.6 244891.4)",1460,KOMÁROM-ESZTERGOM MEGYE,Kömlõd,2853,,Szabadság u. 9.,MADARI FERENC,POLGÅRMESTER,(34)370-012,,,Csabai Gyula,jegyzô,község,07630
"POINT (914329.8 304351.7)",1461,SZABOLCS-SZATMÁR-BEREG MEGYE,Kömörõ,4943,,Kossuth L. u. 1.,JUHÅSZ FERENCNÉ,POLGÅRMESTER,Kömörô 1,,,Sira Lajos,jegyzô,község,23612
"POINT (712957.0 124724.6)",1462,BÁCS-KISKUN MEGYE,Kömpöc,6134,,Petôfi u. 10.,TùRI MIHÅLY,POLGÅRMESTER,(77)381-850,(77)381-038,,dr. Vándor Rudolf,jegyzô,község,13806
"POINT (463385.2 188514.6)",1463,VAS MEGYE,Körmend,9900,,Szabadság tér 7.,HONFI JòZSEF,POLGÅRMESTER,(94)325-123,(94)325-123,37416 kmdvb h,Dercsényi Sándor,jegyzô,város,13532
"POINT (595621.0 245297.4)",1464,KOMÁROM-ESZTERGOM MEGYE,Környe,2851,,Alkotmány u. 2.,HORVÅTH MIKLòS,POLGÅRMESTER,(34)373-011,,,Årva Ferencné,jegyzô,község,30553
"POINT (792184.2 295279.5)",1465,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Köröm,3577,,Rákóczi u. 11.,TòTH TIBOR,POLGÅRMESTER,Köröm 1,,,Hajdu Istvánné,jegyzô,község,26602
"POINT (804435.1 181976.2)",1466,BÉKÉS MEGYE,Körösladány,5516,,Dózsa György út 2.,BERKI IMRE,POLGÅRMESTER,Körösladány 1,,,Fejérné Herbert Ilona,jegyzô,község,11615
"POINT (847065.2 188070.8)",1467,BÉKÉS MEGYE,Körösnagyharsány,5539,,Kossuth tér.8.,MÅTÉ PÅL,POLGÅRMESTER,Körösharsány 1,,,Fürj József,jegyzô,község,10764
"POINT (843473.9 189149.0)",1468,HAJDU-BIHAR MEGYE,Körösszakál,4136,,Årpád u. 3.,SAMòK GYULA,POLGÅRMESTER,Körösszakál 13,,,betöltetlen,jegyzô betöltetlen,község,31130
"POINT (846283.0 191728.2)",1469,HAJDU-BIHAR MEGYE,Körösszegapáti,4135,,Kossuth u.62.,DANI IMRE,POLGÅRMESTER,Körösszegapáti 1,,,Varga Gézáné,jegyzô,község,08943
"POINT (800590.5 172471.9)",1470,BÉKÉS MEGYE,Köröstarcsa,5622,,Kossuth Lajos tér 7.,SZÉPLAKI ZOLTÅN,POLGÅRMESTER,(66)382-222,,,Pardiné Dr. Szabó Zsuzsanna,jegyzô,község,12900
"POINT (723977.4 195174.7)",1471,PEST MEGYE,Kõröstetétlen,2745,,Kocséri u. 20.,FEHÉR PÅL,POLGÅRMESTER,Köröstetétlen 5,,,Gulyás László,jegyzô,község,32975
"POINT (828818.2 182845.4)",1472,BÉKÉS MEGYE,Körösújfalu,5536,,Lenin u.14.,TòTH DEZSº,POLGÅRMESTER,Körösújfalu 2,,,Fürj József,jegyzô,község,30164
"POINT (559175.2 157361.0)",1473,SOMOGY MEGYE,Kötcse,8627,,Vásártéri u. 2.,DR. FELEDY GYULA,POLGÅRMESTER,(84)346-031,,,Zóka László,körjegyzô,község,18148
"POINT (836089.8 157779.7)",1474,BÉKÉS MEGYE,Kötegyán,5725,,Kossuth u. 33.,BUJDOSò LAJOS,POLGÅRMESTER,(66)375-422,,,Katona György,jegyzô,község,06804
"POINT (776356.0 99069.8)",1475,CSONGRÁD MEGYE,Kövegy,6912,,Kossuth u. 29.,TAKÅCS ZOLTÅN,POLGÅRMESTER,Csanádpalota 81,,,Erdélyi Sándorné,jegyzô,község,09955
"POINT (540041.0 171968.1)",1476,VESZPRÉM MEGYE,Köveskál,8274,,Fô u. 10.,CSONKA SÅNDOR,POLGÅRMESTER,(87)348-044,,,Szekeres Béláné,körjegyzô,község,25858
"POINT (536368.8 95210.9)",1477,SOMOGY MEGYE,Kõkút,7531,,Hôsök tere 7.,FÖLDES MÅRIA,POLGÅRMESTER,Hencse 1,,,,,község,13745
"POINT (562586.1 165664.3)",1478,SOMOGY MEGYE,Kõröshegy,8617,,Petôfi u. 71.,PAVLEK FERENC,POLGÅRMESTER,(84)340-730,,,Kiss Ferencné,jegyzô,község,15510
"POINT (596460.8 194623.8)",1479,FEJÉR MEGYE,Kõszárhegy,8152,,Fô u. 154.,FORRAY BÉLA,POLGÅRMESTER,(22)363-004,,,Ådám Zoltánné,jegyzô,község,30650
"POINT (461006.0 230193.6)",1480,VAS MEGYE,Kõszeg,9730,,Jurisits tér 8.,BÅSTHY TAMÅS,POLGÅRMESTER,(94)360-046,(94)360-385,37414 kgvtj h,Dr. Tóth László,jegyzô,város,16832
"POINT (460841.4 225401.3)",1481,VAS MEGYE,Kõszegdoroszló,9725,,Fô u. 34.,KUTSCHI ISTVÅN,POLGÅRMESTER,(94)360-002,,,,,község,05740
"POINT (468755.6 222913.1)",1482,VAS MEGYE,Kõszegpaty,9739,,Kossuth Lajos u. 79.,KENDIK MIKLòS,POLGÅRMESTER,(94)368-028,,,,,község,26046
"POINT (459030.28 224505.655)",1483,VAS MEGYE,Kõszegszerdahely,9725,,Kossuth Lajos u. 5.,UDVARDI LÅSZLò,POLGÅRMESTER,(94)360-000,,,Francsics József,körjegyzô,község,20109
"POINT (754844.2 222202.0)",1484,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kõtelek,5062,,Szabadság út 1.,VÉGH TIBOR,POLGÅRMESTER,Kôtelek 60,,23462 nktkt h,Bozsóné dr. Pravda Erzsébet,körjegyzô,község,11235
"POINT (539580.6 168282.9)",1485,VESZPRÉM MEGYE,Kõvágóörs,8254,,Jókai u. 24.,SZABò DÉNESNÉ,POLGÅRMESTER,(87)344-017,,,Steiber Anna,körjegyzô,község,23454
"POINT (578369.0 82265.9)",1486,BARANYA MEGYE,Kõvágószõlõs,7673,,Rákóczi u. 34.,BÅTOR JòZSEF,POLGÅRMESTER,(72)374-611,,,Dr. Illés Judit,körjegyzô,község,15538
"POINT (576793.5 82856.6)",1487,BARANYA MEGYE,Kõvágótõttõs,7675,,Kossuth L. u. 16.,CSÖRGEI LÅSZLò,POLGÅRMESTER,(72)374-688,,,,,község,06992
"POINT (792213.872 349234.64)",1488,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Krasznokvajda,3821,,Petôfi u. 52.,BUJNòCZKI SÅNDOR,POLGÅRMESTER,Krasznokvajda 16,,,Nagyné Dr. Pail Mariann,jegyzô,község,19576
"POINT (640460.6 189935.3)",1489,FEJÉR MEGYE,Kulcs,2458,,nincs adat,LÉNÅRD BÉLA,POLGÅRMESTER,,,,betöltetlen,jegyzô betöltetlen,község,34209
"POINT (668431.1 179059.5)",1490,BÁCS-KISKUN MEGYE,Kunadacs,6097,,Rákóczi u. 2.,HALCSIK ANTAL,POLGÅRMESTER,(76)353-820,(76)353-820,26990 katka h,Sipos Balázs,jegyzô,község,05856
"POINT (803638.2 121931.9)",1491,BÉKÉS MEGYE,Kunágota,5746,,Rákóczi u. 9.,PÅPAI ZOLTÅN,POLGÅRMESTER,Kunágota 1,,,Boldogh Zoltánné,jegyzô,község,16045
"POINT (678973.0 81992.4)",1492,BÁCS-KISKUN MEGYE,Kunbaja,6435,,Rákóczi u. 16.,HALÅSZ ISTVÅN,POLGÅRMESTER,(79)371-088,,81262 kbaja h,Kerényiné dr. Kormány Mária,jegyzô,község,06044
"POINT (676673.98 182649.06)",1493,BÁCS-KISKUN MEGYE,Kunbaracs,6043,,Kölcsey u. 1.,DR. ZÖLDI GÅBOR,POLGÅRMESTER,(76)371-034,,26980 kbart h,Szöllôsi Csaba,jegyzô,község,07728
"POINT (764323.5 199272.8)",1494,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kuncsorba,5412,,Dózsa György út 26.,MURÅNYI ZSIGMONDNÉ,POLGÅRMESTER,Kuncsorba 1,,,Czakó Lászlóné,jegyzô,község,05254
"POINT (678301.6 112994.8)",1495,BÁCS-KISKUN MEGYE,Kunfehértó,6413,,Szabadság tér 8.,HARNòCZI SÅNDOR,POLGÅRMESTER,(77)322-422,,26786 tankf h,Csupity Zoltán,jegyzô,község,29027
"POINT (769612.6 226091.8)",1496,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kunhegyes,5340,,Szabadság tér 1.,SZELEKOVSZKY ISTVÅN,POLGÅRMESTER,(59)326-222,,23453 vtvbk h,Baranya Pál,jegyzô,város,22567
"POINT (781770.3 232961.3)",1497,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kunmadaras,5321,,Kossuth tér 1.,DR. KEMECSI IMRE,POLGÅRMESTER,(59)327-401,,23626 nktkm h,Papp Ferencné,jegyzô,község,23171
"POINT (667357.0 190748.5)",1498,BÁCS-KISKUN MEGYE,Kunpeszér,6096,,Béke u. 8.,BOROS SÅNDOR,POLGÅRMESTER,(76)373-016,,,Dr. Szilágyi Rózsa,jegyzô,község,31918
"POINT (703932.1 157826.2)",1499,BÁCS-KISKUN MEGYE,Kunszállás,6115,,Dózsa Gy. u. 24.,MAKÅNY FERENC,POLGÅRMESTER,(76)378-014,,26747 kunta h,Polyák Mátyásné,jegyzô,község,31893
"POINT (744918.1 166764.6)",1500,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Kunszentmárton,5440,,Köztársaság tér 1.,KASZA JòZSEF,POLGÅRMESTER,Kunszentmárton 2,,23552 nkksm h,Dr. Nagy György,jegyzô,város,32504
"POINT (656267.5 186954.4)",1501,BÁCS-KISKUN MEGYE,Kunszentmiklós,6090,,Kálvin tér 12.,MòZES ERNº,POLGÅRMESTER,(76)351-014,(76)351-595,26406 ksztm h,Gergely Sándor,jegyzô,város,28130
"POINT (535517.1 267310.4)",1502,GYÕR-MOSON-SOPRON MEGYE,Kunsziget,9184,,József Attila u. 2.,TILAI LAJOS,POLGÅRMESTER,(96)365-040,(96)365-388,,Burányi Erzsébet,jegyzô,község,31626
"POINT (529706.4 212677.6)",1503,VESZPRÉM MEGYE,Kup,8595,,Fô u. 76.,HARKAI LÅSZLòNÉ,POLGÅRMESTER,Kup 3,,,,,község,26541
"POINT (788219.5 333633.9)",1504,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Kupa,3813,,Rákóczi u.3.,NAGY LAJOS,POLGÅRMESTER,Kupa 2,,,,,község,18722
"POINT (593822.1 122679.4)",1505,TOLNA MEGYE,Kurd,7226,,Petôfi u. 11.,CSER ISTVÅN,POLGÅRMESTER,(74)385-011,,,Kovács Károlyné,körjegyzô,község,20507
"POINT (766629.1 331251.3)",1506,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Kurityán,3732,,Kossuth L. u. 109.,FELEDY KÅROLY,POLGÅRMESTER,5,,,Zelena Ferencné,jegyzô,község,11819
"POINT (469111.8 162714.0)",1507,ZALA MEGYE,Kustánszeg,8919,,Kossuth L. u. 45.,NÉMETH LAJOS,POLGÅRMESTER,(92)363-022,,,,,község,19479
"POINT (527536.064 111286.8)",1508,SOMOGY MEGYE,Kutas,7541,,Petôfi u. 70.,EGYED GYÖRGY,POLGÅRMESTER,Kutas 8,,,Dr. Barbalics István,körjegyzô,község,28857
"POINT (686916.8 289568.3)",1509,NÓGRÁD MEGYE,Kutasó,3066,,Toldi u. 1.,SZENTESI GYULÅNÉ,POLGÅRMESTER,Alsótold 1,,,,,község,19451
"POINT (745068.2 90240.4)",1510,CSONGRÁD MEGYE,Kübekháza,6755,,Petôfi tér 9.,BOLDOG KRISZTINA ANIKò,POLGÅRMESTER,(62)377-014,,,Balázsné dr. Mihalecz Ilona,jegyzô,község,14410
"POINT (453850.1 145934.1)",1511,ZALA MEGYE,Külsõsárd,8978,,Kossuth L. u. 18.,CSEH BÉLA,POLGÅRMESTER,(92)351-710,,,,,község,32221
"POINT (512633.78 218143.48)",1512,VESZPRÉM MEGYE,Külsõvat,8532,,Kossuth u. 70.,ACZÉL PÉTER,POLGÅRMESTER,Külsôvat 2,,,Kissné Kiss Zsuzsanna,jegyzô,község,16142
"POINT (583451.6 191813.7)",1513,VESZPRÉM MEGYE,Küngös,8162,,Kossuth u. 30.,SZABò GÉZA,POLGÅRMESTER,(88)383-356,,,,,község,04066
"POINT (541706.2 90020.5)",1514,SOMOGY MEGYE,Lad,7535,,Petôfi u. 2.,NÉMETH JòZSEF,POLGÅRMESTER,Lad 1,,,Gombos László,körjegyzô,község,16258
"POINT (680722.06 187439.44)",1515,BÁCS-KISKUN MEGYE,Ladánybene,6045,,Fô u. 66.,VISONTAY ISTVÅN,POLGÅRMESTER,(76)356-944,,,Szádvári Erika,jegyzô,község,05786
"POINT (595970.7 166687.9)",1516,FEJÉR MEGYE,Lajoskomárom,8136,,Komáromi u. 4.,MACHER PÅL,POLGÅRMESTER,Lajoskomárom 1,,29135 mezob h,Gelencsér Tibor,jegyzô,község,07506
"POINT (688477.9 186840.2)",1517,BÁCS-KISKUN MEGYE,Lajosmizse,6050,,Attila u. 7.,ZSIGò VIKTOR,POLGÅRMESTER,(76)356-140,(76)356-140,26401 nktlm h,Kutasiné Nagy Katalin,körjegyzô,város,17677
"POINT (785114.6 335392.4)",1518,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Lak,3786,,Kossuth L. u. 18.,BERZEVICZI ZSOLT,POLGÅRMESTER,Lak 1,,,betöltetlen,jegyzô betöltetlen,község,15857
"POINT (481453.5 180736.1)",1519,ZALA MEGYE,Lakhegy,8913,,Petôfi u. 104.,MÉHES MÅTÉ,POLGÅRMESTER,(92)364-008,,,,,község,33792
"POINT (722019.1 169815.6)",1520,BÁCS-KISKUN MEGYE,Lakitelek,6065,,Széchenyi krt. 48.,ANKA BALÅZS,POLGÅRMESTER,(76)342-011,(76)342-055,26413 nktlt h,dr. Albrecht Sándor,jegyzô,község,06202
"POINT (544914.0 61894.2)",1521,SOMOGY MEGYE,Lakócsa,7918,,Petôfi u. 11.,MATYòK JòZSEF,POLGÅRMESTER,Lakócsa 1,,,Dr. Krasznai Mária,körjegyzô,község,11040
"POINT (607339.3 52857.2)",1522,BARANYA MEGYE,Lapáncsa,7775,,Fô u. 66.,KIEFER FERENC,POLGÅRMESTER,Magyarbóly 16,,,,,község,06479
"POINT (873158.3 305519.5)",1523,SZABOLCS-SZATMÁR-BEREG MEGYE,Laskod,4543,,Kossuth L. u. 59.,VARGÅNÉ KISS KATALIN,POLGÅRMESTER,Laskod 1,,,Vastag Mihályné,jegyzô,község,21290
"POINT (471230.8 137543.4)",1524,ZALA MEGYE,Lasztonya,8887,,Kossuth u. 4.,HERMÅN IDA,POLGÅRMESTER,7,,,,,község,03434
