WKT,TELEPULESE,MEGYE_NEV,TELNEV,IR_SZAM,KERULET,CIM,POLGM_NEV,POLGMBEO,TEL,FAX,TELEX,JEGYZONEV,JEGYZOBEO,TEL_STATUS,KSH_KOD
"POINT (776466.8 293093.4)",985,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Harsány,3555,,Kossuth L. u. 67.,PAPP DEZSº,POLGÅRMESTER,(46)392-106,,,Koczka Józsefné dr.,jegyzô,község,05847
"POINT (648850.0 150166.1)",986,BÁCS-KISKUN MEGYE,Harta,6326,,Templom u. 68.,ANDRÅS ISTVÅN,POLGÅRMESTER,(78)312-569,,26656 tanht h,Fábián Sándor,jegyzô,község,18458
"POINT (697546.0 258292.9)",987,HEVES MEGYE,Hatvan,3000,,Kossuth tér 2.,SZINYEI ANDRÅS,POLGÅRMESTER,(38)312-635,(38)311-501,285292 vthtv h,Kovács Andrásné dr.,jegyzô,város,22309
"POINT (545909.7 145812.2)",988,SOMOGY MEGYE,Hács,8694,,Diófa u. 38.,NÉMETH JÅNOSNÉ CSIZMADIA ZSUZSANNA,POLGÅRMESTER,Hács 1,,,,,község,18634
"POINT (516924.5 86682.1)",989,SOMOGY MEGYE,Háromfa,7585,,Kossuth L. u. 235.,PAPP ISTVÅNNÉ,POLGÅRMESTER,Háromfa 1,,,Gazdag Tiborné,körjegyzô,község,08837
"POINT (828047.787 340470.435)",990,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Háromhuta,3936,,Rákóczi út 18.,TARNòCZI BERNÅT,POLGÅRMESTER,Háromhuta 1,,,,,község,12706
"POINT (556504.1 205387.7)",991,VESZPRÉM MEGYE,Hárskút,8442,,Fô u. 10.,TAMÅS GYULA,POLGÅRMESTER,(88)361-116,,,Sárközi Miklós,jegyzô,község,25566
"POINT (598955.5 76681.8)",992,BARANYA MEGYE,Hásságy,7745,,Kossuth L. u. 54.,WILHELM FÜLÖP,POLGÅRMESTER,Hásságy 8,,,,,község,27881
"POINT (542095.1 95589.5)",993,SOMOGY MEGYE,Hedrehely,7533,,Szabadság u. 71.,BELLAI BÉLA,POLGÅRMESTER,Hedrehely 7,,,Dr. Buzinkay Gyula,jegyzô,község,16726
"POINT (533644.6 175796.2)",994,VESZPRÉM MEGYE,Hegyesd,8296,,Zrinyi u. 12/44.,KISS ZSIGMOND,POLGÅRMESTER,(87)335-038,,,,,község,02422
"POINT (508540.2 287165.7)",995,GYÕR-MOSON-SOPRON MEGYE,Hegyeshalom,9222,,Fô u. 134.,VINCZE ZOLTÅN,POLGÅRMESTER,(98)320-011,(98)320-084,,Dr. Zentai László,jegyzô,község,17905
"POINT (486527.1 225506.9)",996,VAS MEGYE,Hegyfalu,9631,,Kossuth Lajos u. 86.,KÅLMÅN JòZSEF,POLGÅRMESTER,(94)313-094,,,betöltetlen,jegyzô betöltetlen,község,32188
"POINT (467923.0 179574.4)",997,VAS MEGYE,Hegyháthodász,9915,,Kossuth Lajos u. 36.,KERCSMÅR LAJOS,POLGÅRMESTER,Nádasd 7,,,,,község,14997
"POINT (595163.0 107691.4)",998,BARANYA MEGYE,Hegyhátmaróc,7348,,Hunyadi u.71.,BORBÉLY LAJOS,POLGÅRMESTER,Hegyhátmaróc 1,,,,,község,30951
"POINT (467008.1 182347.4)",999,VAS MEGYE,Hegyhátsál,9915,,Fô u. 35.,BÜKI IMRE,POLGÅRMESTER,Nádasd 1,,,,,község,30216
"POINT (459806.744 172312.94)",1000,VAS MEGYE,Hegyhátszentjakab,9933,,Kossuth Lajos u. 39.,MARTON LAJOS,POLGÅRMESTER,ºrimagyarósd 2,,,Bursits Lajos,körjegyzô,község,18032
"POINT (454570.2 179972.1)",1001,VAS MEGYE,Hegyhátszentmárton,9918,,Fô u. 9.,PÅL LÅSZLò,POLGÅRMESTER,Hegyhátszentmárton 4,,,,,község,21838
"POINT (480239.6 184463.6)",1002,VAS MEGYE,Hegyhátszentpéter,9821,,Béke u. 56.,KOVÅCS ENDRE,POLGÅRMESTER,(94)373-023,,,,,község,08226
"POINT (480837.3 255256.4)",1003,GYÕR-MOSON-SOPRON MEGYE,Hegykõ,9437,,Iskola u. 1.,VÖLGYI JÅNOS,POLGÅRMESTER,(99)376-927,(99)376-927,,Jakab Zsolt,jegyzô,község,18403
